Row data started in the following order:
time, gx, gy, gz, ax, ay, az, mx, my, mz, temp, pres;
2223144510l,   -0.00958,   +0.00106,   -0.00532,   -1.02393,   -0.03174,   +0.00488,  -45.98789,  -17.38125,  -17.46094,   +0.00000,   +0.00000;
2223155188l,   -0.01383,   -0.00426,   -0.00319,   -1.01416,   -0.02344,   +0.00635,  -45.98789,  -17.38125,  -17.46094,   +0.00000,   +0.00000;
2223165857l,   -0.01064,   -0.01916,   -0.00319,   -1.01270,   -0.02002,   +0.00195,  -45.98789,  -17.38125,  -17.46094,   +0.00000,   +0.00000;
2223176535l,   -0.01064,   -0.01596,   +0.00106,   -1.00635,   -0.01660,   +0.01270,  -45.98789,  -17.38125,  -17.46094,   +0.00000,   +0.00000;
2223187211l,   -0.01809,   -0.01383,   -0.00319,   -1.00537,   -0.01709,   +0.01465,  -43.63418,  -17.20020,  -16.23867,   +0.00000,   +0.00000;
2223197889l,   -0.01171,   -0.00745,   -0.00106,   -1.01416,   -0.02295,   +0.00342,  -43.63418,  -17.20020,  -16.23867,   +0.00000,   +0.00000;
2223208647l,   -0.01703,   -0.00532,   -0.00319,   -1.01270,   -0.02490,   +0.00000,  -43.63418,  -17.20020,  -16.23867,   +0.00000,   +0.00000;
2223219319l,   -0.01490,   -0.00745,   +0.00000,   -1.01855,   -0.02148,   +0.02344,  -43.63418,  -17.20020,  -16.23867,   +0.00000,   +0.00000;
2223229960l,   -0.01809,   -0.00319,   -0.00319,   -1.00293,   -0.02051,   +0.00439,  -43.63418,  -17.20020,  -16.23867,   +0.00000,   +0.00000;
2223240640l,   -0.01383,   -0.00319,   +0.00213,   -1.01514,   -0.02246,   +0.00684,  -43.63418,  -17.20020,  -16.23867,   +0.00000,   +0.00000;
2223251319l,   -0.01916,   -0.00000,   +0.00000,   -1.00781,   -0.01660,   +0.01660,  -43.63418,  -17.20020,  -16.23867,   +0.00000,   +0.00000;
2223261993l,   -0.01596,   -0.00958,   -0.00106,   -1.01660,   -0.02197,   +0.01855,  -43.63418,  -17.20020,  -16.23867,   +0.00000,   +0.00000;
2223272706l,   -0.01171,   -0.01809,   +0.00106,   -1.01123,   -0.02686,   +0.02100,  -43.63418,  -17.20020,  -16.23867,   +0.00000,   +0.00000;
2223283378l,   -0.01064,   -0.01809,   +0.00000,   -1.00439,   -0.01074,   +0.01514,  -43.63418,  -17.20020,  -16.23867,   +0.00000,   +0.00000;
2223294061l,   -0.01171,   -0.00958,   +0.00213,   -1.01416,   -0.02197,   +0.00977,  -43.63418,  -17.20020,  -16.23867,   +0.00000,   +0.00000;
2223304743l,   -0.01809,   -0.00426,   +0.00000,   -1.00977,   -0.02197,   +0.01221,  -43.63418,  -17.20020,  -16.23867,   +0.00000,   +0.00000;
2223315419l,   -0.01596,   -0.00639,   -0.00319,   -1.01709,   -0.01465,   +0.00879,  -43.63418,  -17.20020,  -16.23867,   +0.00000,   +0.00000;
2223326097l,   -0.01596,   -0.00106,   -0.00213,   -1.00635,   -0.01709,   +0.01660,  -43.63418,  -17.20020,  -16.23867,   +0.00000,   +0.00000;
2223336773l,   -0.01490,   -0.00213,   +0.00106,   -1.01270,   -0.02002,   +0.00732,  -43.63418,  -17.20020,  -16.23867,   +0.00000,   +0.00000;
2223347448l,   -0.01596,   -0.01171,   +0.00000,   -1.01367,   -0.02148,   +0.01611,  -43.63418,  -17.20020,  -16.23867,   +0.00000,   +0.00000;
2223358119l,   -0.01490,   -0.01277,   -0.00426,   -1.01660,   -0.02588,   +0.02490,  -43.63418,  -17.20020,  -16.23867,   +0.00000,   +0.00000;
2223368797l,   -0.01596,   -0.01064,   +0.00319,   -1.01172,   -0.01562,   +0.00391,  -43.63418,  -17.20020,  -16.23867,   +0.00000,   +0.00000;
2223379471l,   -0.01064,   -0.00213,   -0.00319,   -1.01807,   -0.00732,   +0.02051,  -43.63418,  -17.20020,  -16.23867,   +0.00000,   +0.00000;
2223390146l,   -0.01171,   +0.00106,   -0.00106,   -1.01367,   -0.02100,   +0.00537,  -43.63418,  -17.20020,  -16.23867,   +0.00000,   +0.00000;
2223400821l,   -0.02022,   +0.00106,   -0.00106,   -1.01025,   -0.02393,   +0.02441,  -43.63418,  -17.20020,  -16.23867,   +0.00000,   +0.00000;
2223411482l,   -0.01490,   -0.00319,   +0.00000,   -1.00732,   -0.01660,   +0.00098,  -43.63418,  -17.20020,  -16.23867,   +0.00000,   +0.00000;
2223422152l,   -0.01596,   -0.00745,   -0.00426,   -1.01318,   -0.02148,   +0.01416,  -43.63418,  -17.20020,  -16.23867,   +0.00000,   +0.00000;
2223432847l,   -0.01064,   -0.00958,   -0.00639,   -1.00684,   -0.01514,   +0.01172,  -43.63418,  -17.20020,  -16.23867,   +0.00000,   +0.00000;
2223443522l,   -0.01809,   -0.01809,   +0.00000,   -1.00928,   -0.02344,   +0.01807,  -43.63418,  -17.20020,  -16.23867,   +0.00000,   +0.00000;
